,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Month
33,7811,Noriaki IGARASHI,28 OCT 1972,JPN,3.0,Tokyo (JPN),2003-02-09,02
34,7886,Ibrahim MITEI,1978,KEN,1.0,Trieste (ITA),2003-05-04,05
35,7906,Nikolay KERIMOV,11 MAY 1968,RUS,1.0,St. Petersburg (RUS),2003-06-21,06
36,7973,Dickson MARWA MKAMI,09 MAR 1982,TAN,1.0,Brisbane (AUS),2003-07-06,07
37,7574,Felix LIMO,22 AUG 1980,KEN,1.0,Rotterdam (NED),2004-04-04,04
38,7576,Evans RUTTO,08 APR 1978,KEN,1.0,"Chicago, IL (USA)",2004-10-10,10
39,7609,Joseph RIRI,1973,KEN,2.0,Berlin (GER),2004-09-26,09
40,7626,Gert THYS,12 NOV 1971,RSA,1.0,Seoul (KOR),2004-03-14,03
41,7715,Samson KANDIE,20 APR 1971,KEN,1.0,Wien (AUT),2004-05-16,05
42,7718,Daniel Kiplagat CHERIBO,1981,KEN,1.0,Milano (ITA),2004-11-28,11
43,7726,Satoshi OSAKI,04 JUN 1976,JPN,2.0,Tokyo (JPN),2004-02-08,02
44,7750,Tsuyoshi OGATA,11 MAY 1973,JPN,1.0,Fukuoka (JPN),2004-12-05,12
45,7833,Harun TOROITICH,1978,KEN,1.0,"Tempe, AZ (USA)",2004-01-11,01
46,7889,Mebrahtom KEFLEZIGHI,05 MAY 1975,USA,2.0,"Olympic Stadium, Athina (GRE)",2004-08-29,08
47,8097,James JOHN,,BOT,1.0,Selibe Phikwe (BOT),2004-07-25,07
48,8173,Joshua Rop KIPCHUMBA,12 DEC 1968,KEN,1.0,Pisa (ITA),2004-06-06,06
49,7580,Haile GEBRSELASSIE,18 APR 1973,ETH,1.0,Amsterdam (NED),2005-10-16,10
50,7646,Martin Kiptolo LEL,29 OCT 1978,KEN,1.0,London (GBR),2005-04-17,04
51,7661,Toshinari TAKAOKA,24 SEP 1970,JPN,1.0,Tokyo (JPN),2005-02-13,02
52,7661,Philip MANYIM,24 MAR 1978,KEN,1.0,Berlin (GER),2005-09-25,09
53,7707,William KIPLAGAT,21 JUN 1972,KEN,1.0,Seoul (KOR),2005-11-06,11
54,7709,Dmytri BARANOVSKIY,28 JUL 1979,UKR,1.0,Fukuoka (JPN),2005-12-04,12
55,7733,William KIPSANG,26 JUN 1977,KEN,1.0,Seoul (KOR),2005-03-13,03
56,7821,Christopher ISEGWE,22 FEB 1976,TAN,2.0,"Olympiastadion, Helsinki (FIN)",2005-08-13,08
57,7842,Steven CHEPTOT MATEBO,30 MAR 1974,KEN,1.0,Praha (CZE),2005-05-22,05
58,7849,Degene GUTA,05 AUG 1981,ETH,1.0,Dubai (UAE),2005-01-06,01
59,8058,William KIPCHUMBA,03 NOV 1976,KEN,1.0,Caen (FRA),2005-06-12,06
60,8174,Dickson MARWA MKAMI,09 MAR 1982,TAN,1.0,Brisbane (AUS),2005-07-03,07
61,7556,Haile GEBRSELASSIE,18 APR 1973,ETH,1.0,Berlin (GER),2006-09-24,09
62,7598,Sammy Kipchoge KORIR,12 DEC 1971,KEN,1.0,Rotterdam (NED),2006-04-09,04
63,7635,Dmytri BARANOVSKIY,28 JUL 1979,UKR,2.0,Fukuoka (JPN),2006-12-03,12
64,7655,Robert Kipkoech CHERUIYOT,26 SEP 1978,KEN,1.0,"Chicago, IL (USA)",2006-10-22,10
65,7693,Jason MBOTE,05 JAN 1977,KEN,1.0,Seoul (KOR),2006-11-05,11
66,7700,Lahoussine MRIKIK,07 JUN 1972,MAR,1.0,Wien (AUT),2006-05-07,05
67,7718,David Mandago KIPKORIR,15 DEC 1974,KEN,1.0,Roma (ITA),2006-03-26,03
68,7738,Ambesse TOLOSSA,28 AUG 1977,ETH,1.0,Tokyo (JPN),2006-02-12,02
69,7886,Nasar Sakar SAEED,26 JAN 1978,BRN,1.0,Bruxelles (BEL),2006-08-27,08
70,7922,David CHERUIYOT,01 SEP 1972,KEN,1.0,"Houston, TX (USA)",2006-01-15,01
71,8053,Lee TROOP,22 MAR 1973,AUS,1.0,Brisbane (AUS),2006-07-02,07
72,8099,Andrey CHERNYSHOV,25 NOV 1977,RUS,1.0,Saransk (RUS),2006-06-03,06
73,7466,Haile GEBRSELASSIE,18 APR 1973,ETH,1.0,Berlin (GER),2007-09-30,09
74,7589,Emmanuel MUTAI,12 OCT 1984,KEN,1.0,Amsterdam (NED),2007-10-21,10
75,7599,Samuel Kamau WANJIRU,10 NOV 1986,KEN,1.0,Fukuoka (JPN),2007-12-02,12
76,7639,Mubarak Hassan SHAMI,02 DEC 1980,QAT,1.0,Paris (FRA),2007-04-15,04
77,7684,Bong-ju LEE,11 OCT 1970,KOR,1.0,Seoul (KOR),2007-03-18,03
78,7694,Joshua CHELANGA,07 APR 1973,KEN,1.0,Seoul (KOR),2007-11-04,11
79,7744,Daniel YEGO,28 AUG 1979,KEN,1.0,"San Diego, CA (USA)",2007-06-03,06
80,7761,Peter KEMBOI,,KEN,1.0,Mombasa (KEN),2007-05-27,05
81,7785,Daniel NJENGA,07 MAY 1976,KEN,1.0,Tokyo (JPN),2007-02-18,02
82,7793,William Todoo ROTICH,04 FEB 1980,KEN,1.0,Dubai (UAE),2007-01-12,01
83,8043,Franck Caldeira DE ALMEIDA,06 FEB 1983,BRA,1.0,Rio de Janeiro (BRA),2007-07-29,07
84,7439,Haile GEBRSELASSIE,18 APR 1973,ETH,1.0,Berlin (GER),2008-09-28,09
85,7515,Martin Kiptolo LEL,29 OCT 1978,KEN,1.0,London (GBR),2008-04-13,04
86,7570,Tsegaye KEBEDE,15 JAN 1987,ETH,1.0,Fukuoka (JPN),2008-12-07,12
87,7585,Evans Kiprop CHERUIYOT,10 MAY 1982,KEN,1.0,"Chicago, IL (USA)",2008-10-12,10
88,7636,Isaac Wanjohi MACHARIA,25 NOV 1978,KEN,2.0,Dubai (UAE),2008-01-18,01
89,7636,Jaouad GHARIB,22 MAY 1972,MAR,2.0,"National Stadium, Beijing (CHN)",2008-08-24,08
90,7643,Viktor RÖTHLIN,14 OCT 1974,SUI,1.0,Tokyo (JPN),2008-02-17,02
91,7652,Sammy Kipchoge KORIR,12 DEC 1971,KEN,1.0,Seoul (KOR),2008-03-16,03
92,7673,Duncan KIBET,25 APR 1978,KEN,1.0,Milano (ITA),2008-11-23,11
93,7857,Wilson CHELAL,15 DEC 1982,KEN,1.0,Trieste (ITA),2008-05-04,05
94,8057,Kazuo IETANI,25 AUG 1977,JPN,1.0,Brisbane (AUS),2008-07-06,07
95,8093,Mikhail LEMAYEV,23 NOV 1986,RUS,2.0,Saransk (RUS),2008-06-07,06
96,7467,Duncan KIBET,25 APR 1978,KEN,1,Rotterdam (NED),2009-04-05,04
98,7518,Tsegaye KEBEDE,15 JAN 1987,ETH,1,Fukuoka (JPN),2009-12-06,12
99,7529,Haile GEBRSELASSIE,18 APR 1973,ETH,1f1,Dubai (UAE),2009-01-16,01
100,7564,Abderrahim GOUMRI,21 MAY 1976,MAR,2,"Chicago, IL (USA)",2009-10-11,10
101,7624,Francis KIPROP,25 DEC 1984,KEN,2,Berlin (GER),2009-09-20,09
102,7637,Benjamin KIPTOO,10 JAN 1979,KEN,1,Roma (ITA),2009-03-22,03
103,7668,Patrick Mutuku IVUTI,30 JUL 1978,KEN,1,Praha (CZE),2009-05-10,05
104,7740,Francis Kibiwott LARABAL,15 SEP 1978,KEN,1,Seoul (KOR),2009-11-01,11
105,7815,Adil ENNANI,30 JUN 1980,MAR,1f1,Beppu (JPN),2009-02-01,02
106,7846,Robert Kipkoech CHERUIYOT,26 SEP 1978,KEN,5,"Olympiastadion, Berlin (GER)",2009-08-22,08
107,7918,William Chebon CHEBOR,22 DEC 1982,KEN,1,Gold Coast (AUS),2009-07-05,07
108,8180,Khalid EN GUADY,23 JUL 1974,MAR,1,Caen (FRA),2009-06-14,06
109,7488,Patrick Makau MUSYOKI,02 MAR 1985,KEN,1,Rotterdam (NED),2010-04-11,04
110,7497,Wilson Kipsang KIPROTICH,15 MAR 1982,KEN,1,Frankfurt (GER),2010-10-31,10
111,7525,Bazu WORKU HAYLA,15 SEP 1990,ETH,3,Berlin (GER),2010-09-26,09
112,7539,Eliud KIPTANUI,06 JUN 1989,KEN,1,Praha (CZE),2010-05-09,05
113,7569,Haile GEBRSELASSIE,18 APR 1973,ETH,1,Dubai (UAE),2010-01-22,01
114,7609,Sylvester Kimeli TEIMET,04 JUN 1984,KEN,1,Seoul (KOR),2010-03-21,03
115,7694,Gebregziabher GEBREMARIAM,12 OCT 1984,ETH,1,"New York, NY (USA)",2010-11-07,11
116,7785,David NJAGI,1981,KEN,1,Valencia (ESP),2010-02-21,02
117,7812,Dmitriy SAFRONOV,08 OCT 1981,RUS,2,Fukuoka (JPN),2010-12-05,12
118,7815,William Chebon CHEBOR,22 DEC 1982,KEN,2,"San Diego, CA (USA)",2010-06-06,06
119,7882,Cyrus Gichobi NJUI,11 FEB 1986,KEN,1,Sapporo (JPN),2010-08-29,08
120,8147,Peter Kiprotich CHERUS,27 FEB 1979,KEN,2,Gold Coast (AUS),2010-07-04,07
121,7418,Patrick Makau MUSYOKI,02 MAR 1985,KEN,1.0,Berlin (GER),2011-09-25,09
122,7422,Wilson Kipsang KIPROTICH,15 MAR 1982,KEN,1.0,Frankfurt (GER),2011-10-30,10
123,7480,Emmanuel MUTAI,12 OCT 1984,KEN,1.0,London (GBR),2011-04-17,04
124,7506,Geoffrey MUTAI,07 OCT 1981,KEN,1.0,"New York, NY (USA)",2011-11-06,11
125,7624,Bekana DABA,29 JUL 1988,ETH,1.0,"Houston, TX (USA)",2011-01-30,01
126,7627,Benson Kipchumba BARUS,04 JUL 1980,KEN,1.0,Praha (CZE),2011-05-08,05
127,7655,Hailu MEKONNEN,04 APR 1980,ETH,1.0,Tokyo (JPN),2011-02-27,02
128,7656,Josphat Muchiri NDAMBIRI,12 FEB 1985,KEN,1.0,Fukuoka (JPN),2011-12-04,12
129,7697,Hillary Kipchirchir KIMAIYO,30 APR 1981,KEN,1.0,Torreón (MEX),2011-03-06,03
130,7850,Japhet KIPKORIR,07 APR 1981,KEN,3.0,Gold Coast (AUS),2011-07-03,07
131,8063,Isaac Kemboi KIMAIYO,28 NOV 1978,KEN,1.0,Ciudad de México (MEX),2011-08-28,08
132,8134,Tewodros ZEWDU,12 SEP 1980,ETH,,Langreo (ESP),2011-06-12,06
133,7455,Geoffrey MUTAI,07 OCT 1981,KEN,1,Berlin (GER),2012-09-30,09
134,7463,Ayele ABSHERO,28 DEC 1990,ETH,1,Dubai (UAE),2012-01-27,01
135,7478,Tsegaye KEBEDE,15 JAN 1987,ETH,1,"Chicago, IL (USA)",2012-10-07,10
136,7484,Wilson Kipsang KIPROTICH,15 MAR 1982,KEN,1,London (GBR),2012-04-22,04
137,7537,Wilson Loyanae ERUPE,20 NOV 1988,KEN,1,Seoul (KOR),2012-03-18,03
138,7550,James Kipsang KWAMBAI,28 FEB 1983,KEN,1,Seoul (KOR),2012-11-04,11
139,7618,Joseph GITAU,03 JAN 1988,KEN,1,Fukuoka (JPN),2012-12-02,12
140,7637,Stephen TUM,12 JUL 1986,KEN,2,Praha (CZE),2012-05-13,05
141,7657,Michael KIPYEGO,02 OCT 1983,KEN,1,Tokyo (JPN),2012-02-26,02
142,7939,Robert MWANGI,1987,KEN,2,Brisbane (AUS),2012-07-01,07
143,7945,Solonei ROCHA DA SILVA,18 APR 1982,BRA,1,São Paulo (BRA),2012-06-17,06
144,7976,Oleksandr SITKOVSKIY,09 JUN 1978,UKR,12,"Olympic Stadium, London (GBR)",2012-08-12,08
145,7403,Wilson Kipsang KIPROTICH,15 MAR 1982,KEN,1,Berlin (GER),2013-09-29,09
146,7425,Dennis KIMETTO,22 APR 1984,KEN,1,"Chicago, IL (USA)",2013-10-13,10
147,7485,Lelisa DESISA,14 JAN 1990,ETH,1,Dubai (UAE),2013-01-25,01
148,7538,Peter Kimeli SOME,05 JUN 1990,KEN,1,Paris (FRA),2013-04-07,04
150,7585,James Kipsang KWAMBAI,28 FEB 1983,KEN,1,Seoul (KOR),2013-11-03,11
151,7618,Michael KIPYEGO,02 OCT 1983,KEN,2,Tokyo (JPN),2013-02-24,02
152,7619,Franklin CHEPKWONY,15 JUN 1984,KEN,1,Seoul (KOR),2013-03-17,03
153,7636,Martin Irungu MATHATHI,25 DEC 1985,KEN,1,Fukuoka (JPN),2013-12-01,12
154,7685,Tariku JUFAR,18 JUL 1984,ETH,1,Ottawa (CAN),2013-05-26,05
155,7900,Solonei ROCHA DA SILVA,18 APR 1982,BRA,6,"Luzhniki Stadion, Moskva (RUS)",2013-08-17,08
157,7989,Tewelde ESTIFANOS,02 OCT 1987,ERI,3,Gold Coast (AUS),2013-07-07,07
158,8002,Ebisa Merga EJIGU,1988,ETH,5,Hawassa (ETH),2013-06-16,06
159,7377,Dennis KIMETTO,22 APR 1984,KEN,1,Berlin (GER),2014-09-28,09
160,7451,Eliud KIPCHOGE,05 NOV 1984,KEN,1,"Chicago, IL (USA)",2014-10-12,10
161,7469,Wilson Kipsang KIPROTICH,15 MAR 1982,KEN,1,London (GBR),2014-04-13,04
162,7472,Tsegaye MEKONNEN,15 JUN 1995,ETH,1,Dubai (UAE),2014-01-24,01
163,7557,Tadesse TOLA,31 OCT 1987,ETH,2,Tokyo (JPN),2014-02-23,02
164,7577,Yacob JARSO,05 FEB 1988,ETH,1,Seoul (KOR),2014-03-16,03
165,7603,Shumi DECHASA,28 MAY 1989,BRN,1,Hamburg (GER),2014-05-04,05
166,7663,Feysa BEKELE,04 AUG 1983,ETH,1,Seoul (KOR),2014-11-09,11
167,7702,Patrick Makau MUSYOKI,02 MAR 1985,KEN,1,Fukuoka (JPN),2014-12-07,12
168,7754,Silah LIMO,01 FEB 1992,KEN,1,Gold Coast (AUS),2014-07-06,07
169,7868,Daniele MEUCCI,07 OCT 1985,ITA,1,"Letzigrund, Zürich (SUI)",2014-08-17,08
170,8172,Salomon BARNGETUNY,11 NOV 1984,KEN,1,St. Petersburg (RUS),2014-06-29,06
171,7440,Eliud KIPCHOGE,05 NOV 1984,KEN,1,Berlin (GER),2015-09-27,09
172,7487,Wilson Kipsang KIPROTICH,15 MAR 1982,KEN,2,London (GBR),2015-04-26,04
173,7528,Hayle LEMI,13 SEP 1994,ETH,1,Dubai (UAE),2015-01-23,01
174,7552,Stephen CHEBOGUT,09 JAN 1985,KEN,1,Eindhoven (NED),2015-10-11,10
175,7560,Endeshaw NEGESSE,13 MAR 1988,ETH,1,Tokyo (JPN),2015-02-22,02
176,7571,Wilson Loyanae ERUPE,20 NOV 1988,KEN,1,Seoul (KOR),2015-03-15,03
177,7573,John Nzau MWANGANGI,11 JAN 1990,KEN,1,Valencia (ESP),2015-11-15,11
178,7698,Patrick Makau MUSYOKI,02 MAR 1985,KEN,1,Fukuoka (JPN),2015-12-06,12
179,7722,Kenneth Mburu MUNGARA,07 SEP 1973,KEN,1,Gold Coast (AUS),2015-07-05,07
180,7730,Evans CHEBET,10 NOV 1988,KEN,2,Praha (CZE),2015-05-03,05
181,7953,Simon Kirui KIPRUGUT,,KEN,3,Lanzhou (CHN),2015-06-14,06
182,7988,Yemane TSEGAY,08 APR 1985,ETH,2,"National Stadium, Beijing (CHN)",2015-08-22,08
183,7383,Kenenisa BEKELE,13 JUN 1982,ETH,1,Berlin (GER),2016-09-25,09
184,7385,Eliud KIPCHOGE,05 NOV 1984,KEN,1,London (GBR),2016-04-24,04
185,7464,Tesfaye ABERA,31 MAR 1992,ETH,1,Dubai (UAE),2016-01-22,01
186,7513,Wilson Loyanae ERUPE,20 NOV 1988,KEN,1,Seoul (KOR),2016-03-20,03
187,7521,Daniel KINYUA,25 MAY 1992,KEN,1,Amsterdam (NED),2016-10-16,10
188,7616,Feyisa LILESA,01 FEB 1990,ETH,1,Tokyo (JPN),2016-02-28,02
189,7644,Lawrence CHERONO,07 AUG 1988,KEN,1,Praha (CZE),2016-05-08,05
190,7659,Victor KIPCHIRCHIR,05 DEC 1987,KEN,1,Valencia (ESP),2016-11-20,11
191,7728,Yemane TSEGAY,08 APR 1985,ETH,1,Fukuoka (JPN),2016-12-04,12
192,7741,Yuki KAWAUCHI,05 MAR 1987,JPN,2,Gold Coast (AUS),2016-07-03,07
193,7805,Galen RUPP,08 MAY 1986,USA,3,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-21,08
194,7858,Stanlei KIPCHIRCHIR,03 JAN 1985,KEN,1,Stockholm (SWE),2016-06-05,06
195,7412,Eliud KIPCHOGE,05 NOV 1984,KEN,1,Berlin (GER),2017-09-24,09
196,7438,Wilson Kipsang KIPROTICH,15 MAR 1982,KEN,1,Tokyo (JPN),2017-02-26,02
197,7451,Tamirat TOLA,11 AUG 1991,ETH,1,Dubai (UAE),2017-01-20,01
198,7509,Lawrence CHERONO,07 AUG 1988,KEN,1,Amsterdam (NED),2017-10-15,10
199,7515,Sammy KITWARA,26 NOV 1986,KEN,1,Valencia (ESP),2017-11-19,11
200,7548,Daniel KINYUA,25 MAY 1992,KEN,1,London (GBR),2017-04-23,04
201,7548,Sondre Nordstad MOEN,12 JAN 1991,NOR,1,Fukuoka (JPN),2017-12-03,12
202,7563,Felix Kipchirchir KANDIE,10 APR 1987,KEN,2,Seoul (KOR),2017-03-19,03
203,7707,Geoffrey KIRUI,16 FEB 1993,KEN,1,"Olympic Stadium, London (GBR)",2017-08-06,08
204,7727,Gebretsadik ABRAHA,16 JUL 1992,ETH,1,Praha (CZE),2017-05-07,05
205,7739,Takuya NOGUCHI,02 JUL 1988,JPN,1,Gold Coast (AUS),2017-07-02,07
206,7896,Abrha MILAW ASEFA,27 FEB 1988,ETH,1,Stockholm (SWE),2017-06-03,06
207,7299,Eliud KIPCHOGE,05 NOV 1984,KEN,1,Berlin (GER),2018-09-16,09
208,7440,Mosinet GEREMEW,12 FEB 1992,ETH,1,Dubai (UAE),2018-01-26,01
209,7446,Lawrence CHERONO,07 AUG 1988,KEN,1,Amsterdam (NED),2018-10-21,10
210,7483,El Hassan EL ABBASSI,13 APR 1984,BRN,2,Valencia (ESP),2018-12-02,12
211,7489,Shura KITATA,09 JUN 1996,ETH,2,London (GBR),2018-04-22,04
212,7530,Dickson CHUMBA,27 OCT 1986,KEN,1,Tokyo (JPN),2018-02-25,02
213,7559,Lelisa DESISA,14 JAN 1990,ETH,1,"New York, NY (USA)",2018-11-04,11
214,7567,Galen RUPP,08 MAY 1986,USA,1,Praha (CZE),2018-05-06,05
215,7617,Wilson Loyanae ERUPE,20 NOV 1988,KEN,1,Seoul (KOR),2018-03-18,03
216,7789,Kenneth Mburu MUNGARA,07 SEP 1973,KEN,1,Gold Coast (AUS),2018-07-01,07
217,7791,Koen NAERT,03 SEP 1989,BEL,1,"Olympiastadion, Berlin (GER)",2018-08-12,08
218,7941,Birhanu Dare KEMAL,19 JUL 1986,ETH,2,"Duluth, MN (USA)",2018-06-16,06
219,7301,Kenenisa BEKELE,13 JUN 1982,ETH,1,Berlin (GER),2019-09-29,09
220,7357,Eliud KIPCHOGE,05 NOV 1984,KEN,1,London (GBR),2019-04-28,04
221,7414,Getaneh MOLLA,10 JAN 1994,ETH,1,Dubai (UAE),2019-01-25,01
222,7431,Kinde ATANAW,15 APR 1993,ETH,1,Valencia (ESP),2019-12-01,12
223,7500,Philemon RONO,08 FEB 1991,KEN,1,Toronto (CAN),2019-10-20,10
224,7560,Thomas KIPLAGAT,01 MAR 1987,KEN,1,Seoul (KOR),2019-03-17,03
225,7562,Alemu BEKELE,23 MAR 1990,BRN,2,Seoul (KOR),2019-11-03,11
226,7578,Dawit WOLDE,19 MAY 1991,ETH,1,Praha (CZE),2019-05-05,05
227,7596,Tsedat Abeje AYANA,18 FEB 1996,ETH,1,Sevilla (ESP),2019-02-17,02
228,7670,Yuta SHITARA,18 DEC 1991,JPN,1,Gold Coast (AUS),2019-07-07,07
229,7810,Sahlesilassie NIGUSSIE,26 NOV 1995,ETH,1,Stockholm (SWE),2019-06-01,06
230,7977,Ryo MATSUMOTO,19 OCT 1990,JPN,1,Sapporo (JPN),2019-08-25,08
231,7380,Evans CHEBET,10 NOV 1988,KEN,1.0,Valencia (ESP),2020-12-06,12
232,7486,Mekuant AYENEW,24 OCT 1991,ETH,1.0,Sevilla (ESP),2020-02-23,02
233,7489,Bashir ABDI,10 FEB 1989,BEL,2.0,Tokyo (JPN),2020-03-01,03
234,7541,Shura KITATA,09 JUN 1996,ETH,1.0,London (GBR),2020-10-04,10
235,7575,Olika ADUGNA,12 SEP 1999,ETH,1.0,Dubai (UAE),2020-01-24,01
236,7909,Bernard SANG,15 FEB 1981,KEN,1.0,Istanbul (TUR),2020-11-08,11
237,8081,Samuel Tsegay TESFAMARIAM,24 FEB 1988,ERI,,Stockholm (SWE),2020-09-05,09
238,7377,Titus EKIRU,02 JAN 1992,KEN,1,Milano (ITA),2021-05-16,05
239,7416,Bashir ABDI,10 FEB 1989,BEL,1,Rotterdam (NED),2021-10-24,10
240,7470,Eliud KIPCHOGE,05 NOV 1984,KEN,1,Enschede (NED),2021-04-18,04
241,7496,Kengo SUZUKI,11 JUN 1995,JPN,1,Otsu (JPN),2021-02-28,02
242,7512,Lawrence CHERONO,07 AUG 1988,KEN,1,Valencia (ESP),2021-12-05,12
243,7545,Guye Idemo ADOLA,20 OCT 1990,ETH,1,Berlin (GER),2021-09-26,09
244,7563,Samuel Kiplimo KOSGEI,20 JAN 1986,KEN,1,Barcelona (ESP),2021-11-07,11
245,7664,Maru TEFERI,17 AUG 1992,ISR,1,Hula Lake Park (ISR),2021-03-14,03
246,7798,Abdi NAGEEYE,02 MAR 1989,NED,2,"Odori Park, Sapporo (JPN)",2021-08-08,08
247,7841,Hicham LAQOUAHI,13 JUN 1989,MAR,1,Dhaka (BAN),2021-01-10,01
248,7984,Milton Rotich KIPLAGAT,29 MAR 1986,KEN,1,"Duluth, MN (USA)",2021-06-19,06
249,7269,Eliud KIPCHOGE,05 NOV 1984,KEN,1,Berlin (GER),2022-09-25,09
250,7313,Kelvin KIPTUM,02 DEC 1999,KEN,1,Valencia (ESP),2022-12-04,12
251,7393,Amos KIPRUTO,16 SEP 1992,KEN,2,Tokyo (JPN),2022-03-06,03
252,7464,Benson KIPRUTO,17 MAR 1991,KEN,1,"Chicago, IL (USA)",2022-10-09,10
253,7483,Asrar HIYRDEN,25 NOV 1999,ETH,1,Sevilla (ESP),2022-02-20,02
254,7483,Mosinet GEREMEW,12 FEB 1992,ETH,1,Seoul (KOR),2022-04-17,04
255,7553,Yihunilign ADANE,29 FEB 1996,ETH,1,Barcelona (ESP),2022-05-08,05
256,7619,Amedework WALELEGN,11 MAR 1999,ETH,1,Seoul (KOR),2022-11-06,11
257,7629,Cameron LEVINS,28 MAR 1989,CAN,4,"Autzen Complex, Eugene, OR (USA)",2022-07-17,07
258,7769,Vincent Kipsang RONO,10 NOV 1990,KEN,1,Dhaka (BAN),2022-01-10,01
259,7774,Pius Dominic ONDORO,03 MAR 1988,KEN,1,"Duluth, MN (USA)",2022-06-18,06
260,7821,Richard RINGER,27 FEB 1989,GER,1,"Odeonplatz, München (GER)",2022-08-15,08
261,7285,Kelvin KIPTUM,02 DEC 1999,KEN,1,London (GBR),2023-04-23,04
262,7499,Gadisa SHUMIE,15 SEP 1992,ETH,1,Sevilla (ESP),2023-02-19,02
263,7506,Marius KIMUTAI,10 DEC 1992,BRN,1,Barcelona (ESP),2023-03-19,03
264,7509,Alexander Mutiso MUNYAO,10 SEP 1996,KEN,1,Praha (CZE),2023-05-07,05
265,7609,Mohcin OUTALHA,15 DEC 1998,MAR,1,Doha (QAT),2023-01-20,01
